Time,Value
2018-11-05 12:02:00PM,0.127359
2018-11-05 12:03:00PM,0.127149
2018-11-05 12:04:00PM,0.127124
2018-11-05 12:05:00PM,0.129341
2018-11-05 12:06:00PM,0.131053
2018-11-05 12:07:00PM,0.132083
2018-11-05 12:09:00PM,0.130777
2018-11-05 12:10:00PM,0.130350
2018-11-05 12:11:00PM,0.128329
2018-11-05 12:12:00PM,0.128393
2018-11-05 12:13:00PM,0.130568
2018-11-05 12:14:00PM,0.130154
2018-11-05 12:15:00PM,0.129978
2018-11-05 12:16:00PM,0.130181
2018-11-05 12:17:00PM,0.129751
2018-11-05 12:18:00PM,0.127738
2018-11-05 12:19:00PM,0.127439
2018-11-05 12:20:00PM,0.127938
2018-11-05 12:21:00PM,0.128355
2018-11-05 12:22:00PM,0.127910
2018-11-05 12:23:00PM,0.126251
2018-11-05 12:24:00PM,0.128974
2018-11-05 12:25:00PM,0.130493
2018-11-05 12:26:00PM,0.126679
2018-11-05 12:27:00PM,0.130057
2018-11-05 12:28:00PM,0.130359
2018-11-05 12:29:00PM,0.129485
2018-11-05 12:30:00PM,0.129248
2018-11-05 12:31:00PM,0.126624
2018-11-05 12:32:00PM,0.130417
2018-11-05 12:33:00PM,0.130201
2018-11-05 12:34:00PM,0.131834
2018-11-05 12:35:00PM,0.131461
2018-11-05 12:36:00PM,0.130556
2018-11-05 12:37:00PM,0.131635
2018-11-05 12:38:00PM,0.130177
2018-11-05 12:39:00PM,0.129470
2018-11-05 12:40:00PM,0.130825
2018-11-05 12:41:00PM,0.131233
2018-11-05 12:42:00PM,0.130151
2018-11-05 12:43:00PM,0.129835
2018-11-05 12:44:00PM,0.129410
2018-11-05 12:45:00PM,0.128416
2018-11-05 12:46:00PM,0.128629
2018-11-05 12:47:00PM,0.128499
2018-11-05 12:48:00PM,0.127710
2018-11-05 12:49:00PM,0.129462
2018-11-05 12:50:00PM,0.129412
2018-11-05 12:51:00PM,0.130048
2018-11-05 12:52:00PM,0.131205
2018-11-05 12:53:00PM,0.131204
2018-11-05 12:54:00PM,0.130085
2018-11-05 12:55:00PM,0.129832
2018-11-05 12:56:00PM,0.131046
2018-11-05 12:57:00PM,0.141594
2018-11-05 12:58:00PM,0.129753
2018-11-05 12:59:00PM,0.127877
2018-11-05 01:00:00PM,0.131644
2018-11-05 01:01:00PM,0.129500
2018-11-05 01:02:00PM,0.129860
2018-11-05 01:03:00PM,0.132770
2018-11-05 01:04:00PM,0.130933
2018-11-05 01:05:00PM,0.129628
2018-11-05 01:06:00PM,0.136796
2018-11-05 01:07:00PM,0.131151
2018-11-05 01:08:00PM,0.131494
2018-11-05 01:09:00PM,0.132170
2018-11-05 01:10:00PM,0.131482
2018-11-05 01:11:00PM,0.130487
2018-11-05 01:12:00PM,0.127814
2018-11-05 01:13:00PM,0.127816
2018-11-05 01:14:00PM,0.128891
2018-11-05 01:15:00PM,0.127952
2018-11-05 01:16:00PM,0.128756
2018-11-05 01:17:00PM,0.128911
2018-11-05 01:18:00PM,0.129141
2018-11-05 01:19:00PM,0.131518
2018-11-05 01:20:00PM,0.131500
2018-11-05 01:21:00PM,0.131132
2018-11-05 01:22:00PM,0.130701
2018-11-05 01:23:00PM,0.130084
2018-11-05 01:24:00PM,0.130521
2018-11-05 01:25:00PM,0.130430
2018-11-05 01:26:00PM,0.131280
2018-11-05 01:27:00PM,0.130201
2018-11-05 01:28:00PM,0.131144
2018-11-05 01:29:00PM,0.129466
2018-11-05 01:30:00PM,0.129026
2018-11-05 01:31:00PM,0.131798
2018-11-05 01:32:00PM,0.130928
2018-11-05 01:33:00PM,0.131843
2018-11-05 01:34:00PM,0.129073
2018-11-05 01:35:00PM,0.128952
2018-11-05 01:36:00PM,0.129236
2018-11-05 01:37:00PM,0.131227
2018-11-05 01:38:00PM,0.130510
2018-11-05 01:39:00PM,0.129727
2018-11-05 01:40:00PM,0.130787
2018-11-05 01:41:00PM,0.132068
2018-11-05 01:42:00PM,0.132404
2018-11-05 01:43:00PM,0.132441
2018-11-05 01:44:00PM,0.131323
2018-11-05 01:45:00PM,0.130341
2018-11-05 01:46:00PM,0.130824
2018-11-05 01:47:00PM,0.131146
2018-11-05 01:48:00PM,0.130757
2018-11-05 01:49:00PM,0.130274
2018-11-05 01:50:00PM,0.129832
2018-11-05 01:51:00PM,0.130103
2018-11-05 01:52:00PM,0.130326
2018-11-05 01:53:00PM,0.130588
2018-11-05 01:54:00PM,0.128790
2018-11-05 01:55:00PM,0.129061
2018-11-05 01:56:00PM,0.126571
2018-11-05 01:57:00PM,0.130467
2018-11-05 01:58:00PM,0.128664
2018-11-05 01:59:00PM,0.128316
2018-11-05 02:00:00PM,0.128978
2018-11-05 02:01:00PM,0.127119
2018-11-05 02:02:00PM,0.127657
2018-11-05 02:03:00PM,0.130415
2018-11-05 02:04:00PM,0.130266
2018-11-05 02:05:00PM,0.130705
2018-11-05 02:06:00PM,0.130227
2018-11-05 02:07:00PM,0.130374
2018-11-05 02:08:00PM,0.130930
2018-11-05 02:10:00PM,0.129719
2018-11-05 02:11:00PM,0.129556
2018-11-05 02:12:00PM,0.131509
2018-11-05 02:13:00PM,0.131298
2018-11-05 02:14:00PM,0.130840
2018-11-05 02:15:00PM,0.129350
2018-11-05 02:16:00PM,0.129837
2018-11-05 02:17:00PM,0.131362
2018-11-05 02:18:00PM,0.128478
2018-11-05 02:19:00PM,0.127901
2018-11-05 02:20:00PM,0.127499
2018-11-05 02:21:00PM,0.127712
2018-11-05 02:22:00PM,0.127844
2018-11-05 02:23:00PM,0.127463
2018-11-05 02:24:00PM,0.130187
2018-11-05 02:25:00PM,0.128345
2018-11-05 02:26:00PM,0.130290
2018-11-05 02:27:00PM,0.131531
2018-11-05 02:28:00PM,0.130745
2018-11-05 02:29:00PM,0.130533
2018-11-05 02:30:00PM,0.130008
2018-11-05 02:31:00PM,0.131432
2018-11-05 02:32:00PM,0.132096
2018-11-05 02:33:00PM,0.133560
2018-11-05 02:34:00PM,0.130584
2018-11-05 02:35:00PM,0.128392
2018-11-05 02:36:00PM,0.130424
2018-11-05 02:37:00PM,0.130196
2018-11-05 02:38:00PM,0.131793
2018-11-05 02:40:00PM,0.133219
2018-11-05 02:41:00PM,0.129102
2018-11-05 02:42:00PM,0.128473
2018-11-05 02:43:00PM,0.128569
2018-11-05 02:44:00PM,0.128913
