timestamp,HK Outdoor Temperature
2018-04-10T19:00:00,21.38
2018-04-10T20:00:00,21.84
2018-04-10T21:00:00,21.77
2018-04-10T22:00:00,21.51
2018-04-10T23:00:00,21.85
2018-04-11T00:00:00,21.88
2018-04-11T01:00:00,21.7
2018-04-11T02:00:00,21.5
2018-04-11T03:00:00,21.5
2018-04-11T04:00:00,21.62
2018-04-11T05:00:00,21.76
2018-04-11T06:00:00,21.9
2018-04-11T07:00:00,22.48
2018-04-11T08:00:00,23.24
2018-04-11T09:00:00,25.21
2018-04-11T10:00:00,25.54
2018-04-11T11:00:00,25.64
2018-04-11T12:00:00,26.65
2018-04-11T13:00:00,26.86
2018-04-11T14:00:00,28.17
2018-04-11T15:00:00,27.82
2018-04-11T16:00:00,26.98
2018-04-11T17:00:00,25.9
2018-04-11T18:00:00,24.8
2018-04-11T19:00:00,23.31
2018-04-11T20:00:00,22.77
2018-04-11T21:00:00,22.43
2018-04-11T22:00:00,22.33
2018-04-11T23:00:00,22.54
