timestamp,Wine Cellar Cooler 1,Wine Cellar Cooler 2,Wine Cellar AC 1,Wine Cellar AC 2
2017-12-06T23:45:00,48.94,396.76,2.31,2.2
2017-12-07T00:00:00,100.97,508.18,2.26,2.34
2017-12-07T00:15:00,281.93,58.83,2.26,2.31
2017-12-07T00:30:00,32.45,49.74,2.28,2.35
2017-12-07T00:45:00,251.39,109.72,2.28,2.34
2017-12-07T01:00:00,14.17,398.96,2.26,2.19
2017-12-07T01:15:00,79.81,931.54,2.24,2.14
2017-12-07T01:30:00,101.11,49.46,2.28,2.34
2017-12-07T01:45:00,245.82,59.65,2.26,2.33
2017-12-07T02:00:00,50.17,84.29,2.25,2.33
2017-12-07T02:15:00,100.41,870.95,2.27,2.33
2017-12-07T02:30:00,123.27,49.62,2.26,2.19
2017-12-07T02:45:00,259.55,59.31,2.26,2.32
2017-12-07T03:00:00,230.64,73.34,2.29,2.47
2017-12-07T03:15:00,16.01,448.12,2.28,2.48
2017-12-07T03:30:00,100.93,654.46,2.28,2.47
2017-12-07T03:45:00,159.51,49.82,2.29,2.48
2017-12-07T04:00:00,154.45,60.95,2.26,2.24
2017-12-07T04:15:00,218.48,95.01,2.27,2.35
2017-12-07T04:30:00,63.77,69.67,2.29,2.48
2017-12-07T04:45:00,13.84,134.66,2.29,2.49
2017-12-07T05:00:00,197.05,133.99,2.28,2.48
2017-12-07T05:15:00,193.8,133.36,2.26,2.44
2017-12-07T05:30:00,13.85,134.81,2.27,2.26
2017-12-07T05:45:00,191.5,133.84,2.27,2.41
2017-12-07T06:00:00,192.26,133.83,2.26,2.37
2017-12-07T06:15:00,190.16,134.99,2.3,2.38
2017-12-07T06:30:00,87.06,135.2,2.31,2.4
2017-12-07T06:45:00,112.19,145.87,2.28,2.33
2017-12-07T07:00:00,14.07,949.33,2.21,2.09
2017-12-07T07:15:00,62.07,928.88,2.25,2.31
2017-12-07T07:30:00,100.87,197.7,2.25,2.41
2017-12-07T07:45:00,279.79,58.62,2.29,2.52
